CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
61109229000153;AUTO POSTO DA FÉ LTDA;AVENIDA CONSELHEIRO CARRÃO,3481; ;VILA CARRÃO;SAO PAULO;SP;Etanol;2,599;31/07/2018 11:38
61109229000153;AUTO POSTO DA FÉ LTDA;AVENIDA CONSELHEIRO CARRÃO,3481; ;VILA CARRÃO;SAO PAULO;SP;Diesel S10;3,439;31/07/2018 11:38
72408842000198;ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA DOS DEMOCRATICOS,1400;;BONSUCESSO;RIO DE JANEIRO;RJ;Gasolina;5,099;06/09/2018 06:53
72408842000198;ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA DOS DEMOCRATICOS,1400;;BONSUCESSO;RIO DE JANEIRO;RJ;Etanol;3,599;06/09/2018 06:53
72408842000198;ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA DOS DEMOCRATICOS,1400;;BONSUCESSO;RIO DE JANEIRO;RJ;GNV;2,698;06/09/2018 06:53
72408842000198;ALG POSTO DE ABASTECIMENTO E SERVICOS LTDA;AVENIDA DOS DEMOCRATICOS,1400;;BONSUCESSO;RIO DE JANEIRO;RJ;Diesel S10;3,539;06/09/2018 06:53
75474288000135;COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA;AVENIDA ADEMAR GHIZI,SN;;CENTRO;TREZE DE MAIO;SC;Gasolina;4,479;22/08/2018 18:39
75474288000135;COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA;AVENIDA ADEMAR GHIZI,SN;;CENTRO;TREZE DE MAIO;SC;Etanol;3,929;22/08/2018 18:39
75474288000135;COMERCIAL DE COMBUSTIVEIS TREZEMAINHENSE LTDA;AVENIDA ADEMAR GHIZI,SN;;CENTRO;TREZE DE MAIO;SC;Diesel S500;3,329;22/08/2018 18:39
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;Gasolina;4,097;25/06/2018 11:09
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;Etanol;3,497;25/06/2018 11:09
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;GNV;2,197;25/06/2018 11:09
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;Diesel S500;3,437;25/06/2018 11:09
83392050000199;POSTO ZANDONA 12;RUA DR PEDRO ZIMMERMANN,2600;;ITOUPAVA CENTRAL;BLUMENAU;SC;Diesel S10;3,537;25/06/2018 11:09
83607333000100;POSTO OURO VERDE LTDA;RUA SANTA CATARINA,616;;CENTRO;OURO VERDE;SC;Gasolina;4,58;29/08/2018 10:34
83607333000100;POSTO OURO VERDE LTDA;RUA SANTA CATARINA,616;;CENTRO;OURO VERDE;SC;Diesel S500;3,79;29/08/2018 10:34
83607333000100;POSTO OURO VERDE LTDA;RUA SANTA CATARINA,616;;CENTRO;OURO VERDE;SC;Diesel S10;3,89;29/08/2018 10:34
84437136000153;POSTO MARECHAL;AVENIDA MARECHAL DEODORO DA FONSECA,961;;CENTRO;JARAGUA DO SUL;SC;Gasolina;4,175;13/07/2018 08:55
84437136000153;POSTO MARECHAL;AVENIDA MARECHAL DEODORO DA FONSECA,961;;CENTRO;JARAGUA DO SUL;SC;Etanol;3,375;13/07/2018 08:55
84437136000153;POSTO MARECHAL;AVENIDA MARECHAL DEODORO DA FONSECA,961;;CENTRO;JARAGUA DO SUL;SC;Diesel S10;3,335;13/07/2018 08:55
87012050000177;POSTO COOMOCA;RUA MIGUEL LORETO SOBRINHO,28;ESQUINA COM BR 153;DISTRITO INDUSTRIAL;CACHOEIRA DO SUL;RS;Gasolina;4;13/07/2018 10:57
87012050000177;POSTO COOMOCA;RUA MIGUEL LORETO SOBRINHO,28;ESQUINA COM BR 153;DISTRITO INDUSTRIAL;CACHOEIRA DO SUL;RS;Etanol;3;13/07/2018 10:57
87012050000177;POSTO COOMOCA;RUA MIGUEL LORETO SOBRINHO,28;ESQUINA COM BR 153;DISTRITO INDUSTRIAL;CACHOEIRA DO SUL;RS;Diesel S500;3;13/07/2018 10:57
87012050000177;POSTO COOMOCA;RUA MIGUEL LORETO SOBRINHO,28;ESQUINA COM BR 153;DISTRITO INDUSTRIAL;CACHOEIRA DO SUL;RS;Diesel S10;3;13/07/2018 10:57
91424135000130;ABASTECEDORA TRES AMIGOS LTDA;RODOVIA BR-116,7455;;ROSELANDIA;NOVO HAMBURGO;RS;Gasolina;4,599;14/07/2018 10:17
91424135000130;ABASTECEDORA TRES AMIGOS LTDA;RODOVIA BR-116,7455;;ROSELANDIA;NOVO HAMBURGO;RS;GNV;2,899;14/07/2018 10:17
91424135000130;ABASTECEDORA TRES AMIGOS LTDA;RODOVIA BR-116,7455;;ROSELANDIA;NOVO HAMBURGO;RS;Diesel S500;3,199;14/07/2018 10:17
91424135000130;ABASTECEDORA TRES AMIGOS LTDA;RODOVIA BR-116,7455;;ROSELANDIA;NOVO HAMBURGO;RS;Diesel S10;3,299;14/07/2018 10:17
93777456000143;POSTO PAMPEANO II;AVENIDA PRESIDENTE KENNEDY,185;;VILA BATISTA;CACAPAVA DO SUL;RS;Gasolina;4,947;29/06/2018 12:01
93777456000143;POSTO PAMPEANO II;AVENIDA PRESIDENTE KENNEDY,185;;VILA BATISTA;CACAPAVA DO SUL;RS;Etanol;4,149;29/06/2018 12:01
93777456000143;POSTO PAMPEANO II;AVENIDA PRESIDENTE KENNEDY,185;;VILA BATISTA;CACAPAVA DO SUL;RS;Diesel S500;3,327;29/06/2018 12:01
93777456000143;POSTO PAMPEANO II;AVENIDA PRESIDENTE KENNEDY,185;;VILA BATISTA;CACAPAVA DO SUL;RS;Diesel S10;3,394;29/06/2018 12:01
